speech_giver,political_party,terms
Turhan Hırfanoğlu,,[]
Tuğrul Yemişci,Adalet ve Kalkınma Partisi,[23]
Tülay Bakır,Adalet ve Kalkınma Partisi,[24]
Tülay Kaynarca,,"[24, 25, 26, 27]"
Tünç Bilget,,[]
Türabi Kayan,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Türabi Kayan’ın görüşülmekte olan 556 sıra sayılı Kanun Tasarısı’nın 9’uncu maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 173 35.- Adana Milletvekili Meral Danış Beştaş,,[]
Türabi Kayan’ın yaptığı gündem dışı konuşmasındaki bazı ifadelerine ilişkin açıklaması 367 16.- Manisa Milletvekili Özgür Özel,,[]
Türel,,[]
Türkan Dağoğlu’n,,[24]
Türkân Akyol,Sosyal Demokrasi PartisiSosyaldemokrat Halkçı Parti,[18]
Türkân Turgut Arıkan,Anavatan PartisiVatandaş PartisiDoğru Yol Partisi,[17]
Ulaş Karasu’n,Cumhuriyet Halk Partisi,"[27, 28]"
Utku Çakırözer,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Uğur Aydemir,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Uğur Bayraktutan,Cumhuriyet Halk Partisi,"[24, 25, 26, 27, 28]"
Uğur Bayraktutan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 239 46.- Samsun Milletvekili Kemal Zeybek,,[]
Vahap Seçer,Cumhuriyet Halk Partisi,"[23, 24]"
Vahit Kiler,Adalet ve Kalkınma Partisi,"[22, 23, 24, 27]"
"Vecdi Gündoğdu, cam işçilerinin aldıkları grev kararının millî güvenliği bozucu nitelikte bulunarak yasaklanmasına ilişkin açıklaması 662 5.- İstanbul Milletvekili Didem Engin",,[]
Vecdi Gündoğdu’n,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Vecihi Atakı,,[]
Vefa Tanır,Cumhuriyet Halk Partisi(1961-1967)Güven Partisi(1967-1973)Cumhuriyetçi Güven Partisi(1973-1980)Doğru Yol Partisi(1983-1995),"[12, 13, 14, 15, 18, 19]"
Veli Aksoy,,"[18, 19, 20]"
Veli Ağbaba,Sosyaldemokrat Halkçı Parti(1993-1995)Cumhuriyet Halk Partisi(1995-günümüz),"[24, 25, 26, 27, 28]"
Veli Ağbaba’nın¸ infaz koruma memurlarının sorunlarına ilişkin açıklaması 459:460 8.- Afyonkarahisar Milletvekili Ahmet Toptaş,,[]
Veysel Eroğlu’n,Adalet ve Kalkınma Partisi(2007-günümüz),"[23, 24, 25, 26, 27]"
Veysi Kaynak,Refah Partisi(1987-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2002-günümüz),"[23, 25, 26]"
Vildan Yılmaz Gürel,Adalet ve Kalkınma Partisi,[27]
Vural Arıkan,,[17]
Vural Kavuncu’n,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Vuralhan,Anavatan Partisi,[18]
Yahya Akman,,"[21, 22, 23, 24]"
Yahya Doğan,,[23]
Yakup Akkaya,,[26]
Yakup Akkaya’nın 456 sıra sayılı Kanun Teklifi’nin 10’uncu maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 297:298 27.- İstanbul Milletvekili Yakup Akkaya,,[]
Yakup Akkaya’nın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 482 26.- Ankara Milletvekili Levent Gök,,[]
Yasin Uğur,Adalet ve Kalkınma Partisi,[27]
Yasin Öztürk,Milliyetçi Hareket Partisi(?-2017)İYİ Parti(2017-günümüz),"[27, 28]"
Yavuz Aydın,İYİ Parti,[28]
Yavuz Ağıralioğlu’n,Büyük Birlik Partisi(1997-2011)Bağımsız(2011-2018)İYİ Parti(2018-2023)Bağımsız(2023-2024)Anahtar Parti(2024-günümüz),[27]
Yavuz Subaşı,Refah PartisiFazilet PartisiAdalet ve Kalkınma Partisi,[27]
Yaşar Ağyüz,,[23]
Yaşar Erbaz,,[19]
Yaşar Eryılmaz,Anavatan Partisi(1987-2002)Adalet ve Kalkınma Partisi(2007-2011),"[18, 19, 20, 21, 23]"
Yaşar Karadağ,,[27]
Yaşar Karayel,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26]"
Yaşar Kırkpınar,Adalet ve Kalkınma Partisi,"[27, 28]"
Yaşar Okuyan,Milliyetçi Hareket Partisi(1971-1980)Bağımsız(1980-1995)Anavatan Partisi(1995-2002)Milliyetçi Hareket Partisi(2002-2004)Doğru Yol Partisi(2004)Demokrat Türkiye Partisi(2004-2005)Hürriyet ve Değişim Partisi(2005-2008)Halkın Yükselişi Partisi(2008)Bağımsız(2008-2015)Vatan Partisi(2015-2018)Cumhuriyet Halk Partisi(2018-2023),"[20, 21]"
Yaşar Topçu,Doğru Yol Partisi(1987-1995)Anavatan Partisi(1995-2002),"[18, 19, 20, 21]"
Yaşar Tüzün,Sosyaldemokrat Halkçı Parti(1989-1994)Cumhuriyet Halk Partisi(1994-günümüz),"[22, 23, 25, 26, 27, 28]"
Yelda Erol Gökcan,,[27]
Yunus Emre,,[]
Yunus Kılıç,Adalet ve Kalkınma Partisi,"[24, 27]"
Yusuf Başer,,[]
Yusuf Halaçoğlu’n,Milliyetçi Hareket Partisi(2011-2017)İYİ Parti(2017-2018)Bağımsız(2018-2024)Kutlu Parti(2024-günümüz),"[24, 25, 26]"
Yusuf Kenan Sönmez,Sosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,[18]
Yusuf Namoğlu,ANAP(1991-2004),"[19, 20]"
Yusuf Pamuk,,[]
Yusuf Ziya İrbeç,Adalet ve Kalkınma Partisi(2007-2011)Milliyetçi Hareket Partisi(2011-2017),"[23, 24]"
Yücel Arzen Hacıoğulları,,[28]
Yücel Bulut,Milliyetçi Hareket Partisi(2012-günümüz),"[27, 28]"
Yücel Menekşe,,[27]
Yücel Seçkiner,,"[19, 20, 21]"
Yüksel Arslan,,[]
Yüksel Özkan,Cumhuriyet Halk Partisi,[27]
Yıldıray Sapan,,[24]
Yıldırım Akbulut,Anavatan Partisi,"[17, 18, 19, 21]"
Yıldırım Avcı,,"[18, 19]"
Yıldırım Kaya,Özgürlük ve Dayanışma Partisi(1996-2001)Cumhuriyet Halk Partisi(2014-günümüz),[27]
Yıldırım Kaya’nın görüşülmekte olan 212 sıra sayılı Kanun Teklifi’nin tümü üzerinde CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 484 46.- Çanakkale Milletvekili Bülent Turan,,[]
Yıldırım Mehmet Ramazanoğlu’n,Adalet ve Kalkınma Partisi,[24]
Yılmaz Altıg,,[]
Yılmaz Tankut,Milliyetçi Hareket Partisi,[23]
Yılmaz Tezcan,,"[25, 26]"
Yılmaz Tunç,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 27]"
Yılmaz İhsan Hastürk,,[]
Zehra Taşkesenlioğlu’n,Refah PartisiAdalet ve Kalkınma Partisi,"[26, 27]"
Zekeriya Akıncı,,"[22, 23]"
Zekeriya Birkan,Adalet ve Kalkınma Partisi(2001-günümüz),"[25, 26]"
Zeki Aygün,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Zeki Ergezen,,"[19, 20, 21, 22, 23]"
Zeki Ertugay,Doğru Yol PartisiMilliyetçi Hareket Partisi,"[20, 21, 23]"
Zeki Nacitarlan,,[]
Zeki Yavuztürk,Anavatan Partisi,"[17, 18]"
Zeki Çelikler,,[]
Zemzem Gülender Açanal,,[27]
Zeynel Emre,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Zeynel Özen,Halkların Demokratik Partisi,[27]
Zeynep Altıok,Cumhuriyet Halk Partisi,"[25, 26]"
Zeynep Gül Yılmaz,,[27]
Zeynep Yıldız,Adalet ve Kalkınma Partisi,"[27, 28]"
Ziver Özdemir,Adalet ve Kalkınma Partisi,"[24, 25, 27]"
Ziya Ercan,,"[17, 18]"
Ziya Pir,Halkların Demokratik Partisi,"[25, 26]"
Ziya Pir’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 603 43.- İstanbul Milletvekili Filiz Kerestecioğlu Demir,,[]
Zübeyir Aydar,Sosyaldemokrat Halkçı PartiDemokrasi Partisi,[19]
Zühal Topcu’n,Milliyetçi Hareket Partisi,"[24, 25, 26]"
Züleyha Gülüm,Halkların Demokratik Partisi,[27]
Zülfikar İnönü Tümer,Cumhuriyet Halk Partisi(1997-günümüz),"[25, 26]"
Zülfü Demirbağ,Adalet ve Kalkınma Partisi,"[22, 24, 27]"
Zülfü Tolga Ağar,Adalet ve Kalkınma Partisi(2014-günümüz),[27]
Zülküf Uçar,Halkların Eşitlik ve Demokrasi Partisi,[28]
seçilebilme ehliyetini haiz olduklarına ve Eskişehir Milletvekili Bedii Süheyl Batum’un ifadelerine ilişkin açıklaması 899:900 19.- Konya Milletvekili Faruk Bal,,[]
uygulamalarına ilişkin açıklaması Hüseyin Aygün,,[]
Çağlar Demirel,Halkların Demokratik Partisi,"[25, 26]"
Çet,,[]
Çetin Arık,Cumhuriyet Halk PartisiİYİ Parti(2018),"[25, 26, 27]"
Çetin Osman Budak,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Çiçek Otlu’n,Halkların Eşitlik ve Demokrasi Partisi,[28]
Çiğdem Erdoğan Atabek,Adalet ve Kalkınma Partisi,"[27, 28]"
Çiğdem Koncagül,Adalet ve Kalkınma Partisi,"[27, 28]"
Ökkeş Şendiller,,[19]
Ömer Faruk Ekinci,,"[19, 20]"
Ömer Faruk Gergerlioğlu’n,HDP(2018-2023)DEM Parti(2023-günümüz),"[27, 28]"
Ömer Faruk Hülakü’n,DEM Parti,[28]
Ömer Faruk Öz,,"[23, 24]"
Ömer Ferruh İlter,Anavatan Partisi,"[17, 18]"
Ömer Fethi Gürer,Sosyal Demokrasi Partisi(1983-1985)Sosyaldemokrat Halkçı Parti(1985-1995)Cumhuriyet Halk Partisi(1995-günümüz)İYİ Parti(2018),"[26, 27, 28]"
Ömer Kuşhan,,[]
Ömer Necati Cengiz,,[]
Ömer Serdar,,[26]
Ömer Süha Aldan,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Ömer Türkçakal,,[]
Ömer Çiftçi,,[]
Ömer Öcalan,Halkların Eşitlik ve Demokrasi Partisi,"[27, 28]"
Önol Şakar,,"[13, 14, 15, 16, 18]"
Özcan Purçu’n,Cumhuriyet Halk Partisi(?-2023)Bağımsız(2023-günümüz),"[25, 26, 27]"
Özcan Purçu’nun 504 sıra sayılı 2016 Yılı Kesin Hesap Kanunu Tasarısı’nın 3’üncü maddesi üzerinde şahsı adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 179 25.- İstanbul Milletvekili Mehmet Muş,,[]
Özcan Ulupınar,Adalet ve Kalkınma Partisi,"[24, 26]"
Özcan Yeniçeri,,[24]
Özcan Özel,Sosyaldemokrat Halkçı Parti(1987-1995)Cumhuriyet Halk Partisi(1995-2021)Memleket Partisi(2021-2025),[27]
Özdal Üçer,,"[23, 24]"
Özer Gürbüz,,"[17, 18]"
Özgür Ceylan,Cumhuriyet Halk Partisi,"[27, 28]"
Özgür Ceylan’ın 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 446 16.- Kayseri Milletvekili Dursun Ataş’ın 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 446 17.- Muğla Milletvekili Süleyman Girgin,,[]
Özgür Ceylan’ın çeltik üreticilerinin sorunlarına ilişkin açıklaması 19 11.- Sivas Milletvekili Semiha Ekinci,,[]
Özgür Erdem İncesu’n,Cumhuriyet Halk Partisi,[28]
Özgür Karabat,Cumhuriyet Halk Partisi,"[27, 28]"
Özgür Özel,Cumhuriyet Halk Partisi,"[24, 25, 26, 27, 28]"
Özgür Özel ile İzmir Milletvekili Oktay Vural’ın yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 790:792 14.- Manisa Milletvekili Özgür Özel,,[]
"Özgür Özel, Diyarbakır Milletvekili İdris Baluken ile Manisa Milletvekili Erkan Akçay’ın sataşma nedeniyle yaptıkları konuşmalarındaki bazı ifadelerine ilişkin açıklaması 370:371 30.- Manisa Milletvekili Özgür Özel",,[]
"Özgür Özel, Konya Milletvekili Abdullah Ağralı’nın CHP grup önerisi üzerindeki konuşması sırasında kullandığı bazı ifadelere ilişkin açıklaması 498:499 35.- Denizli Milletvekili Cahit Özkan",,[]
"Özgür Özel, Çanakkale Milletvekili Bülent Turan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 491:492 33.- Çanakkale Milletvekili Bülent Turan",,[]
"Özgür Özel, İstanbul Milletvekili Mehmet Muş’un yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 894 65.- İstanbul Milletvekili Mehmet Muş",,[]
"Özgür Özel’e geçmiş olsun dileğinde bulunduğuna ilişkin açıklaması 826 39.- İstanbul Milletvekili Mehmet Muş, Ağrı Milletvekili Dirayet Dilan Taşdemir’in görüşülmekte olan 174 sıra sayılı Kanun Teklifi’nin ikinci bölümü üzerinde HDP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 832:833 40.- İstanbul Milletvekili Mehmet Muş",,[]
Özgür Özel’in Başbakan Yardımcısı Hakan Çavuşoğlu’nun 503 sıra sayılı 2018 Yılı Bütçe Kanunu Tasarısı ile 504 sıra sayılı 2016 Yılı Kesin Hesap Kanunu Tasarısı’nın ikinci tur görüşmelerinde Hükûmet adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 374:375 38.- Başbakan Yardımcısı Hakan Çavuşoğlu’n,,[]
Özgür Özel’in açıklamasındaki bazı ifadelerine ilişkin açıklaması 198 46.- Erzurum Milletvekili İbrahim Aydemir,Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]"
Özgür Özel’in sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1051:1052 6.- Manisa Milletvekili Özgür Özel,,[]
Özgür Özel’in ve Kocaeli Milletvekili Lütfü Türkkan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 1133 57.- Manisa Milletvekili Özgür Özel,,[]
Özgür Özel’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 854:855 21.- Maliye Bakanı Naci Ağbal,,[]
Özgür Özel’in yerinden sarf ettiği bazı ifadelerine ilişkin açıklaması 763 41.- İzmir Milletvekili Dursun Müsavat Dervişoğlu’n,,[]
Özkan Yalım,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Özkan Yalım ile Kocaeli Milletvekili Haydar Akar’ın yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 821:822 30.- Samsun Milletvekili Erhan Usta,,[]
Özkan Öksüz,Fazilet PartisiAdalet ve Kalkınma Partisi,"[21, 22, 23]"
Özlem Müftüoğlu,,[23]
Özlem Piltanoğlu Türköne,Adalet ve Kalkınma Partisi,[23]
Özlem Zeng,Adalet ve Kalkınma Partisi(2003-günümüz),"[25, 27, 28]"
Öznur Çalık,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 27]"
Öztürk Yılmaz ile İstanbul Milletvekili Mehmet Bekaroğlu’nun sataşma nedeniyle yaptıkları konuşmalarındaki bazı ifadelerine ilişkin açıklaması 786:787 10.- Diyarbakır Milletvekili İdris Baluken,,[]
Ülkü Söylemezoğlu,Hür Demokrat Parti (Türkiye),"[17, 18]"
Ülkü Söylemezçılı,,[]
Ümit Beyaz,İYİ Parti(2017-2025),[27]
Ümit Dikbayır,İYİ Parti(2017-2023)Bağımsız(2023-2025)Cumhuriyet Halk Partisi(2025-günümüz),"[27, 28]"
Ümit Halûk Bayülken,Milliyetçi Demokrasi Partisi(1983-1986),[17]
Ümit Yılmaz,Milliyetçi Hareket Partisi,[27]
Ümmügülşen Öztürk,Adalet ve Kalkınma Partisi,[28]
Ünal Demirtaş,Cumhuriyet Halk PartisiİYİ Parti(2018),"[25, 26, 27]"
Ünal Kacır,,"[22, 23, 24]"
Ünal Karaman,İYİ Parti(2023-2025)AK Parti(2025-günümüz),[28]
İ. Melih Gökçek,Adalet ve Kalkınma Partisi(2003-günümüz),[19]
"İbrahim Aydemir, Erzurum’un yerli otomobil üretim merkezi olmasının bölgedeki diğer illerin de kalkınma ve gelişme hızını artıracağına ilişkin açıklaması 772 10.- Niğde Milletvekili Ömer Fethi Gürer",,[]
İbrahim Aydın,,[]
İbrahim Demir,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
İbrahim Gürdal,,"[18, 19, 20, 21]"
İbrahim Gürsoy,,[1]
İbrahim Halil Oral,Milliyetçi Hareket PartisiİYİ Parti,"[21, 27]"
İbrahim Halil Yıldız,Adalet ve Kalkınma Partisi,"[26, 27]"
İbrahim Halil Çelik,,[]
İbrahim Kavaz,Adalet Ve Kalkınma Partisi,[23]
İbrahim Korkmaz,Adalet ve Kalkınma Partisi,[24]
İbrahim Kumaş,,[]
İbrahim Ufuk Kaynak,Adalet ve Kalkınma Partisi,[28]
İbrahim Yaşar Dedelek,,"[19, 20, 21]"
İbrahim Yurdunuseven,Adalet ve Kalkınma Partisi(2004-günümüz),"[27, 28]"
İbrahim Özden Kaboğlu’n,Cumhuriyet Halk Partisi,[27]
İbrahim Özdiş,Sosyaldemokrat Halkçı Parti(1989 - 1995)Cumhuriyet Halk Partisi(1995 - günümüz),"[19, 25, 26]"
İbrahim Öztürk,,[]
İbrahim Özyavuz,"MHP(1974-1980, 2011-günümüz)","[27, 28]"
İdris Bal,Bağımsız,[24]
İdris Baluken,Halkların Demokratik Partisi(2014-günümüz)Barış ve Demokrasi Partisi(2011-2014),"[24, 25, 26]"
İdris Baluken ile Ankara Milletvekili Levent Gök’ün yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 573 538 TBMM B: 19 24 . 12 . 2015 Sayfa 11.- Diyarbakır Milletvekili İdris Baluken,,[]
İdris Baluken’in sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 317 31.- İstanbul Milletvekili Engin Altay,,[]
İdris Baluken’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 576 16.- İzmir Milletvekili Oktay Vural,,[]
İdris Gürpınar,,[]
İdris Şahin,Demokrasi ve Atılım Partisi(2020-günümüz),"[24, 28]"
İffet Polat,Adalet ve Kalkınma Partisi,[27]
İhsan Özkes,Demokratik Sol Parti(1999-?)Cumhuriyet Halk Partisi(2002-2015),"[24, 25]"
İhsan Şener,,"[24, 25]"
İkram Dinçer,,[23]
İleri,,[]
İlhami Binici,,[18]
İlhami Özcan Aygun,Cumhuriyet Halk Partisi,"[27, 28]"
İlhan Aşk,,[]
İlhan Demiröz,Cumhuriyet Halk Partisi,[24]
"İlhan Demiröz’ün , Bursa’nın İnegöl ve Kestel ilçelerinde yaşanan şiddetli yağış ve dolu nedeniyle çiftçilerin mağduriyetlerinin bir an önce giderilmesi gerektiğine ilişkin açıklaması 911:912 9.- Kastamonu Milletvekili Emin Çınar",,[]
İlhan Kaya,,[]
İlhan Kesici,"Cumhuriyet Halk Partisi(2007-2010, 2015-günümüz)","[20, 23, 25, 26, 27, 28]"
İlknur İnceöz,Adalet ve Kalkınma Partisi(2001-günümüz),"[23, 24, 25, 26, 27]"
İlyas Şeker,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
İlyas Şeker’in 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 443 7.- Erzurum Milletvekili İbrahim Aydemir,,[]
İmam Hüseyin Filiz,İYİ Parti,[27]
İmam Taşçıer,Halkların Demokratik Partisi,"[25, 26, 27]"
İmran Kılıç,Adalet ve Kalkınma Partisi,"[26, 27]"
İnan Akgün Alp,Cumhuriyet Halk Partisi,[28]
İrfan Bakır,Cumhuriyet Halk Partisi,"[25, 26]"
İrfan Demiralp,,"[18, 19, 20]"
İrfan Gürpınar,,"[18, 19, 20]"
İrfan Kaplan,Cumhuriyet Halk Partisi,[27]
İrfan Karatutlu’n,Demokrasi ve Atılım Partisi(2020-günümüz),[28]
İrfan Kartal,Adalet ve Kalkınma Partisi,[27]
İsa Gök,,"[23, 24]"
İsa Mesih Şahin,Bağımsız(2025-günümüz),[28]
İshak Gazel,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
İskender Bayhan,Emek Partisi,[28]
İskender Cenap Ege,Milliyetçi Demokrasi PartisiDoğru Yol Partisi,[17]
İsmail Atakan Ünver,Cumhuriyet Halk Partisi,"[27, 28]"
İsmail Aydın,,[]
İsmail Bilen,,[]
İsmail Cem,"Cumhuriyet Halk Partisi(1992-1995, 2004-2007)","[18, 19, 20, 21]"
İsmail Dayı,Anavatan Partisi,"[17, 18]"
İsmail Emrah Karayel,AKP,"[26, 27, 28]"
İsmail Faruk Aksu’n,Milliyetçi Hareket Partisi,"[25, 26, 27, 28]"
İsmail Güneş,,[]
İsmail Hakkı Biçer,,[]
İsmail Kaya,Adalet ve Kalkınma Partisi,[27]
İsmail Kaya’nın 19 Ekim Muhtarlar Günü’ne ilişkin açıklaması 442 4.- İstanbul Milletvekili Sibel Özdemir,,[]
İsmail Koncuk,İYİ Parti(2018-2020)Zafer Partisi(2021-2022)İYİ Parti(2022-günümüz),[27]
İsmail Koncuk’un 90 sıra sayılı Kanun Teklifi’nin ikinci bölümü üzerinde İYİ PARTİ Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 192:193 28.- Düzce Milletvekili Ümit Yılmaz,,[]
İsmail Ok,MHP(2009-2017)İYİ Parti(2017-2020)Bağımsız(2020-2022)AK Parti(2022-günümüz),"[25, 26, 27, 28]"
İsmail Sancak,,[]
İsmail Saruhan,,[17]
İsmail Tamer,Adalet ve Kalkınma Partisi,"[24, 25, 27]"
İsmail Tatlıoğlu’n,Doğru Yol PartisiAdalet ve Kalkınma PartisiMilliyetçi Hareket PartisiİYİ Parti,[27]
İsmail Özdemir,Milliyetçi Hareket Partisi,"[27, 28]"
İsmail Üğdül,Anavatan Partisi,"[17, 18]"
İsmail Şeng,,[]
İsmet Gür,Adalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26, 27]"
İsmet Kaya Erdem,Anavatan Partisi(1983-1999),"[17, 18, 19, 20]"
İsmet Tokdemir,,[27]
İsmet Turhangil,,[]
İsmet Uçma,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
İsmet Yılmaz,Adalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26, 27]"
İsrafil Kışla,Adalet ve Kalkınma Partisi(2011 - günümüz),"[24, 25, 26]"
İzzet Akbulut,Cumhuriyet Halk Partisi,[28]
İzzet Ulvi Yönter,Milliyetçi Hareket Partisi,"[25, 26, 27, 28]"
İzzet Çetin,,"[22, 24]"
Şah,,[]
Şahap Kavcıoğlu’n,Adalet ve Kalkınma Partisi(2015-günümüz),[26]
Şahin Mengü’n,Cumhuriyet Halk Partisi,[23]
Şahin Tin,Adalet ve Kalkınma Partisi,"[27, 28]"
Şahzade Demir,,[]
Şamil Ayrım,Adalet ve Kalkınma Partisi,"[20, 21, 27, 28]"
Şamil Tayyar,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Şebnem Bursalı,Adalet ve Kalkınma Partisi,[28]
Şenal Sarıhan,Cumhuriyet Halk Partisi,"[25, 26]"
Şenal Sarıhan’ın 278 sıra sayılı Kanun Tasarısı’nın 22’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1018 26.- Adalet Bakanı Bekir Bozdağ,,[]
Şenol Bal,Milliyetçi Hareket Partisi(2007-2017)İYİ Parti(2017-günümüz),"[23, 27, 28]"
Şenol Sunat,Milliyetçi Hareket Partisi(2007-2017)İYİ Parti(2017-günümüz),"[23, 27, 28]"
Şerafettin Halis,,[23]
Şerafettin Turpcu’n,,"[25, 26]"
Şeref Arpacı,Cumhuriyet Halk Partisi,[28]
Şevin Coşkun,Halkların Demokratik Partisi,[27]
Şevket Kazan,Milli Nizam Partisi(1970-1971)Milli Selamet Partisi(1972-1980)Refah Partisi(1985-1998)Saadet Partisi(2003-2020),"[15, 19, 20]"
Şevket Köse,Cumhuriyet Halk Partisi,[]
Şinasi Altıner,Doğru Yol PartisiAnavatan Partisi,"[18, 19, 20]"
Şirin Ünal,Adalet ve Kalkınma Partisi(2010-günümüz),"[24, 25, 26, 27]"
Şuay Alpay,Adalet ve Kalkınma Partisi,"[24, 25]"
Şükrü Babacan,,[]
Şükrü Mustafa Elekdağ,Cumhuriyet Halk Partisi,"[22, 23]"
Şükrü Yürür,Anavatan Partisi(1983-2002),"[17, 18, 19, 20, 21]"
Arsan Savaş Arpacıoğlu,,[]
Hüseyin Avni Sağesen,Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Hilmi Nalbantöğlu,,[]
Hilmi Nalbantöglü,,[]
Mehmet Kemal Gökoçora,,[]
Vecihi Ataklı,,[]
İbrahim Taşdemir,,[]
Hilmi Nalbantıoğlu,,[]
Türkân Turgut Artkan,Anavatan PartisiVatandaş PartisiDoğru Yol Partisi,[17]
Hilmi Naltantıoğlu,,[]
Türkân Turgut Arikan,Anavatan PartisiVatandaş PartisiDoğru Yol Partisi,[17]
Hilmi Nalbantoglu,,[]
Hilmi Nalbanıoğlu,,[]
Hilmi Naıbantöğlu,,[]
Arsan Savaş Arpacioglu,,[]
Mahmut Altunakar,,[]
Ülkü Söylemezöğlu,Hür Demokrat Parti (Türkiye),"[17, 18]"
Fatik Tarımcoğlu,Milliyetçi Demokrasi PartisiHür Demokrat PartiAnavatan Partisi,"[17, 18]"
K. Kemal Anadol,Cumhuriyet Halk Partisi,"[1, 2, 3, 4, 5]"
Alâettin Kurt,,"[18, 19]"
Bülent Akarcali,Anavatan Partisi(1983-2002)Adalet ve Kalkınma Partisi(2009),"[17, 18, 19, 20, 21]"
Beşer Baydar,,[]
M. İstemihan Talay,,[]
Fuat Kılıç,Adalet ve Kalkınma Partisi(2002-2023)Yeniden Refah Partisi(2023-günümüz),"[22, 23, 24]"
Kâzım Özev,,[]
Rıza Ilıman,,[]
Turhan Hirfanoğlu,,[]
Kemalettin Göktaş,,[]
I. Melih Gökçek,Adalet ve Kalkınma Partisi(2003-günümüz),[19]
Eylüp Aşık,,[]
Oğuzhan Asiltürk,,[]
Ahmet Feyzi İnceöz,,[]
Özlem Zengin,Adalet ve Kalkınma Partisi(2003-günümüz),"[25, 27, 28]"
Dursun Müsavat Dervişoğlu’n,İYİ Parti(2017-günümüz),"[27, 28]"
Abdullah Güler,Refah Partisi(1991-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2007),"[19, 20, 21, 22, 23]"
Lütfü Türkkan,Milliyetçi Hareket Partisi(2011-2017)İYİ Parti(2017-günümüz),"[24, 27, 28]"
Fikret Şahin,Cumhuriyet Halk Partisi,[27]
Serpil Kemalbay Pekgözegü’n,Halkların Demokratik Partisi,[27]
Yavuz Ağırailoğlu’n,Büyük Birlik Partisi(1997-2011)Bağımsız(2011-2018)İYİ Parti(2018-2023)Bağımsız(2023-2024)Anahtar Parti(2024-günümüz),[27]
Halil Öztürk,,[]
Gökan Zeybek’,Cumhuriyet Halk Partisi,"[27, 28]"
Ulaş Karasu’’n,Cumhuriyet Halk Partisi,"[27, 28]"
Turabi Kayan,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Mahmat Tanal,Cumhuriyet Halk Partisi,"[24, 25, 26, 27, 28]"
Saliha Sera Kadıgil Sütlü’n,Cumhuriyet Halk Partisi(2010-2021)Türkiye İşçi Partisi(2021-günümüz),"[27, 28]"
